Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Walla Walla Wine On Tour,1/29/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Cheryl Wheeler,1/30/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door,47.6086439,-122.337685,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Giantish,1/30/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
A/political Rocks,Now through 1/31/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,47.6565246,-122.31173279895636,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 8 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Sophia Al-Maria,Now through 1/31/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,47.6565246,-122.31173279895636,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 8 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Jahari Stampley,1/30/2024 through 1/31/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
FRAKTURED: Home of the Broken Beat,1/31/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
G3- 25th Anniversary reunion,1/31/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
JP Saxe,1/31/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Los Lobos,1/31/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door,47.6086439,-122.337685,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Daimonics,1/31/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
BabyTron,2/1/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Battlestar Kalakala,2/1/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,47.6615049,-122.332319,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Catalyzing Change with Akuyea Karen Vargas,2/1/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Exceptional Failures,2/1/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern,47.6657081,-122.38280295082915,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Jamila Woods,2/1/2024 |  Neumos,Neumos,Neumos,Neumos,47.613954,-122.3196108,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Jazz is Dead: Blue Note 85,2/1/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,Not Available,Not Available,Weather data not available
Michelle Cann,2/1/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
Pakt,2/1/2024 |  Funhouse,Funhouse,Funhouse,Funhouse,43.6576535,-72.2840663,"Patchy fog before 4am. Cloudy, with a low around 28. North wind around 1 mph."
Public Theatre,2/1/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
American Flats Album Release,2/2/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Erik Walters,2/2/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
Memoir,2/2/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Nora En Pure,2/2/2024 |  Showbox SoDo,Showbox SoDo,Showbox SoDo,Showbox SoDo,47.5880461,-122.333928,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Poolside,2/2/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Stars vs. Monterrey Flash,2/2/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024 |  On The Boards,On The Boards,On The Boards,On The Boards,50.2622955,-5.0548053,Weather data not available
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
All Will Suffer,2/3/2024 |  Funhouse,Funhouse,Funhouse,Funhouse,43.6576535,-72.2840663,"Patchy fog before 4am. Cloudy, with a low around 28. North wind around 1 mph."
Banned & Beloved,2/3/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Cold War Kids – 20 Years Tour,2/3/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Mau P,2/3/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Oble,2/3/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
Randy Rainbow for President,2/3/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Delta Bombers,2/3/2024 |  El Corazon,El Corazon,El Corazon,El Corazon,-5.2464353,-78.9699948,Weather data not available
The Grave Plot Film Fest part 6,2/3/2024 |  Ark Lodge Cinemas,Ark Lodge Cinemas,Ark Lodge Cinemas,Ark Lodge Cinemas,47.5589937,-122.285421,"Rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Chamber Music Winter Festival,Now through 2/4/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Sergio Mendes,2/1/2024 through 2/4/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Daniel Tiger’s Neighborhood,2/4/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Family Art Day: La Vaughn Belle,2/4/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum,47.6683615,-122.39177949359151,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Lil Skies,2/4/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Secular and Sacred,2/4/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Criminal,2/5/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Neck Deep,2/5/2024 |  Showbox SoDo,Showbox SoDo,Showbox SoDo,Showbox SoDo,47.5880461,-122.333928,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Kazu Kibuishi with Donna Barba Higuera,2/6/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Kristin Hannah,2/6/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Michael J. Gerhardt,2/6/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Night Lovell,2/6/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Soja,2/6/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,Not Available,Not Available,Weather data not available
Kenny Barron Trio,2/6/2024 through 2/7/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dimiter,2/7/2024 |  Sunset Tavern,Sunset Tavern,Sunset Tavern,Sunset Tavern,36.0254577,-114.9637699,"Partly cloudy. Low around 46, with temperatures rising to around 48 overnight. Northwest wind around 2 mph."
