Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Blood Sweat  and Tears,2/8/2024 through 2/11/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Love at the Zoo,2/10/2024 through 2/11/2024 |  Point Defiance Zoo and Aquarium,Point Defiance Zoo and Aquarium,Point Defiance Zoo and Aquarium,Point Defiance Zoo and Aquarium,47.3049439,-122.52137750626918,"Rain and patchy fog. Cloudy, with a low around 53. South southwest wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Scott Bradlee’s Postmodern Jukebox,2/11/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tourist and Amtrac,2/11/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024 |  Majestic Bay Theatres,Majestic Bay Theatres,Majestic Bay Theatres,Majestic Bay Theatres,Not Available,Not Available,Weather data not available
Eliades Ochoa,2/13/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
K. Wayne Yang,2/13/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Juanes,2/14/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Black Dogs,2/15/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,47.6615049,-122.332319,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Maddie Zahm,2/15/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,Not Available,Not Available,Weather data not available
Silversun Pickups,2/15/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
The Brodies,2/15/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Cory Wong Winter 2024 Tour,2/16/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Left on Tenth,2/16/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Marlon Wayans,2/16/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Riley Mulherkar: Album Release Show,2/16/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Yeah!,2/16/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Circa:Humans 2.0,2/15/2024 through 2/17/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
Big Business,2/17/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern,47.6657081,-122.38280295082915,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
David Wax Museum,2/17/2024 |  Fremont Abbey Arts Center,Fremont Abbey Arts Center,Fremont Abbey Arts Center,Fremont Abbey Arts Center,47.6592234,-122.349792,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Jon Batiste,2/17/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
lespecial,2/17/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
TobyMac Hits Deep 2024,2/17/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
A Case for the Existence of God,2/2/2024 through 2/18/2024 |  ACT Theatre,ACT Theatre,ACT Theatre,ACT Theatre,47.6108495,-122.3323262,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024 |  Seattle Convention Center,Seattle Convention Center,Seattle Convention Center,Seattle Convention Center,47.61175385,-122.33156275066185,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Madonna,2/17/2024 through 2/18/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Aqua Fools’ Day,2/18/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Dr. Joy Buolamwini,2/18/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
La Nef: Red Sky at Night,2/18/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Love Beyond Border,2/18/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum,47.6683615,-122.39177949359151,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Detroit Red Wings,2/19/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Thrifted,2/19/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Black and Boujee,Now through 2/20/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
From Mozart to Matthews,2/20/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Lukas Nelson,2/20/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Mahogany – smARTfilms: Black Luxury,2/20/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Robots Who Paint,2/20/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Trask,2/20/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
"Wu Han, Philip Setzer & David Finckel",2/20/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
The Cookers,2/20/2024 through 2/21/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Bailen,2/22/2024 |  The Crocodile,The Crocodile,The Crocodile,The Crocodile,47.6146474,-122.3490734,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dr. Charan Ranganath,2/22/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Mountain Holler,2/22/2024 |  High Dive,High Dive,High Dive,High Dive,41.7111625,-93.6318959,"Areas of fog. Mostly cloudy, with a low around 29. North northwest wind around 8 mph."
Seattle Kraken vs. Vancouver Canucks,2/22/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Shabaka,2/22/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Funky Friday with F2D,Now through 2/23/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,47.6615049,-122.332319,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Caligula’s Horse,2/23/2024 |  El Corazon,El Corazon,El Corazon,El Corazon,-5.2464353,-78.9699948,Weather data not available
Opera Talk: The Making of X,2/23/2024 |  Opera Center,Opera Center,Opera Center,Opera Center,44.43358325,26.079138268508792,Weather data not available
Tikkadoom and Nick Drummond,2/23/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Wreckno,2/23/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Kelly Akashi,Now through 2/24/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,47.6565246,-122.31173279895636,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 8 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Lower Depths,2/6/2024 through 2/24/2024 |  Erickson Theatre,Erickson Theatre,Erickson Theatre,Erickson Theatre,47.61467195,-122.3217419,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Crystal Skies,2/24/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Dan Brown Wild Symphony,2/24/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Nate Jackson,2/24/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Pink Sweat$,2/24/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Root and Branch,2/24/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Minnesota Wild,2/24/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Small Island Big Song,2/24/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
Born With Teeth,2/1/2024 through 2/25/2024 |  ArtsWest Playhouse and Gallery,ArtsWest Playhouse and Gallery,ArtsWest Playhouse and Gallery,ArtsWest Playhouse and Gallery,Not Available,Not Available,Weather data not available
"Once More, Just For You",2/5/2024 through 2/25/2024 |  Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,47.6821341,-122.3398325,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Wintergrass Music Festival,2/22/2024 through 2/25/2024 |  Hyatt Regency Bellevue,Hyatt Regency Bellevue,Hyatt Regency Bellevue,Hyatt Regency Bellevue,47.618258,-122.20116,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Telling the Story,2/25/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Cherry Glazerr,2/26/2024 |  Neumos,Neumos,Neumos,Neumos,47.613954,-122.3196108,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dick & Angel Dare to Do It,2/26/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Boston Bruins,2/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Big Tooth,2/27/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,47.6615049,-122.332319,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Eric Klinenberg,2/27/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Joy Harjo,2/27/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Anand Gopal,2/28/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dianne Reeves,2/28/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Kassa Overall,2/28/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Playboi Carti,2/28/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Winter Brilliance,Now through 2/29/2024 |  Chihuly Garden and Glass,Chihuly Garden and Glass,Chihuly Garden and Glass,Chihuly Garden and Glass,47.6205296,-122.35020712496446,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Museum Month,2/1/2024 through 2/29/2024 |  Downtown Seattle,Downtown Seattle,Downtown Seattle,Downtown Seattle,47.5989361,-122.3279543,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
JNA and Tavia Rhodes,2/29/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Julian Lage,2/29/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
MarchFourth,2/29/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Human Family,2/29/2024 |  LANGSTON Seattle,LANGSTON Seattle,LANGSTON Seattle,LANGSTON Seattle,47.6012977,-122.30982515103054,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Enjambre,3/1/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Fall Out Boy,3/1/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Sloane Crosley with Ben Gibbard,3/1/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
